ProductKey,CustomerKey,OrderDateKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,DiscountAmount,ProductStandardCost,SalesAmount,Profit,TaxAmt
381,16942,20190101,7,SO46700,1,1000.4375,0,605.6492,1000.4375,394.7883,80.035
375,15114,20190101,8,SO46701,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
369,15116,20190101,8,SO46702,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
337,20576,20190101,10,SO46703,1,782.99,0,486.7066,782.99,296.2834,62.6392
370,13059,20190101,4,SO46704,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
370,13085,20190101,1,SO46705,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
352,20186,20190101,6,SO46706,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
337,15199,20190101,4,SO46707,1,782.99,0,486.7066,782.99,296.2834,62.6392
377,21200,20190101,9,SO46708,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
387,19172,20190102,10,SO46709,1,1000.4375,0,605.6492,1000.4375,394.7883,80.035
356,11484,20190102,8,SO46710,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
369,13592,20190102,7,SO46711,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
373,13779,20190102,7,SO46712,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
371,24778,20190102,6,SO46713,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
368,13093,20190102,1,SO46714,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
375,24976,20190102,6,SO46715,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
375,25046,20190102,6,SO46716,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
368,25048,20190102,6,SO46717,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
360,12570,20190102,9,SO46718,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
362,11604,20190103,10,SO46719,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
371,13667,20190103,7,SO46720,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
370,16046,20190103,10,SO46721,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
385,17095,20190103,7,SO46722,1,1000.4375,0,605.6492,1000.4375,394.7883,80.035
368,12918,20190103,4,SO46723,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
368,28663,20190103,6,SO46724,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
369,21191,20190103,9,SO46725,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
373,20999,20190103,9,SO46726,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
370,21002,20190103,9,SO46727,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
358,12354,20190103,9,SO46728,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
321,26019,20190103,9,SO46729,1,782.99,0,486.7066,782.99,296.2834,62.6392
379,15100,20190104,8,SO46730,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
371,15101,20190104,8,SO46731,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
385,13992,20190104,4,SO46732,1,1000.4375,0,605.6492,1000.4375,394.7883,80.035
375,24781,20190104,6,SO46733,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
375,13060,20190104,4,SO46734,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
371,13226,20190104,1,SO46735,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
360,12341,20190104,9,SO46736,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
354,12346,20190104,9,SO46737,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
362,12576,20190104,9,SO46738,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
373,15699,20190105,10,SO46739,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
379,12980,20190105,1,SO46740,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
370,28766,20190105,6,SO46741,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
358,20206,20190105,6,SO46742,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
373,21183,20190105,9,SO46743,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
370,21199,20190105,9,SO46744,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
369,13056,20190106,1,SO46745,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
368,13057,20190106,4,SO46746,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
360,26127,20190106,1,SO46747,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
360,26252,20190106,4,SO46748,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
354,12350,20190106,9,SO46749,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
377,16054,20190107,10,SO46750,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
377,12934,20190107,4,SO46751,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
343,19931,20190107,8,SO46752,1,782.99,0,486.7066,782.99,296.2834,62.6392
379,21215,20190107,9,SO46753,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
321,25958,20190107,9,SO46754,1,782.99,0,486.7066,782.99,296.2834,62.6392
343,26023,20190107,9,SO46755,1,782.99,0,486.7066,782.99,296.2834,62.6392
383,13993,20190107,4,SO46756,1,1000.4375,0,605.6492,1000.4375,394.7883,80.035
354,26174,20190108,1,SO46757,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
387,18130,20190108,8,SO46758,1,1000.4375,0,605.6492,1000.4375,394.7883,80.035
373,16033,20190108,10,SO46759,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
387,13986,20190108,4,SO46760,1,1000.4375,0,605.6492,1000.4375,394.7883,80.035
325,19924,20190108,8,SO46761,1,782.99,0,486.7066,782.99,296.2834,62.6392
368,13063,20190108,1,SO46762,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
375,13202,20190108,4,SO46763,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
360,26238,20190108,4,SO46764,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
333,15191,20190108,4,SO46765,1,782.99,0,486.7066,782.99,296.2834,62.6392
369,21216,20190108,9,SO46766,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
362,12573,20190108,9,SO46767,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
339,26020,20190108,9,SO46768,1,782.99,0,486.7066,782.99,296.2834,62.6392
377,15702,20190109,10,SO46769,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
370,15357,20190109,8,SO46770,1,2443.35,0,1518.7864,2443.35,924.5636,195.468
377,13068,20190109,4,SO46771,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
375,13161,20190109,1,SO46772,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
371,13173,20190109,1,SO46773,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
375,13225,20190109,4,SO46774,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
352,26249,20190109,1,SO46775,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
360,12356,20190109,9,SO46776,1,2049.0982,0,1105.81,2049.0982,943.2882,163.9279
356,11568,20190110,10,SO46777,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
352,11610,20190110,10,SO46778,1,2071.4196,0,1117.8559,2071.4196,953.5637,165.7136
377,15929,20190110,10,SO46779,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
379,12942,20190110,4,SO46780,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
379,12949,20190110,1,SO46781,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
371,12975,20190110,4,SO46782,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
337,19069,20190110,7,SO46783,1,782.99,0,486.7066,782.99,296.2834,62.6392
375,13178,20190110,1,SO46784,1,2181.5625,0,1320.6838,2181.5625,860.8787,174.525
